,School Name,SA2,Latitude,Longitude,School Type
3873,Shepparton East Primary School,216031417,-36.399933,145.479249,Primary
3874,Nicholson Primary School,205021082,-37.815776,147.747912,Primary
3875,Kialla West Primary School,216031417,-36.466006,145.389455,Primary
3876,Miners Rest Primary School,201011008,-37.47791092,143.79523815,Primary
3877,Glenrowan Primary School,204021067,-36.460189,146.222337,Primary
3878,Warrnambool Primary School,217041479,-38.377278,142.482572,Primary
3879,Devenish Primary School,204021064,-36.32654,145.894335,Primary
3880,Undera Primary School,216031419,-36.276362,145.21893,Primary
3881,Dederang Primary School,204031069,-36.469255,147.015314,Primary
3882,Eppalock Primary School,202021026,-36.841773,144.387727,Primary
3883,Silvan Primary School,211051279,-37.82450788,145.4224628,Primary
3884,Wendouree Primary School,201011008,-37.53921193,143.82841988,Primary
3885,Lancaster Primary School,216011407,-36.31325,145.132822,Primary
3886,Raywood Primary School,202031032,-36.539577,144.204946,Primary
3887,Drummond Primary School,201021011,-37.23569513,144.33018438,Primary
3888,Puckapunyal Primary School,204011060,-37.00263,145.033509,Primary
3889,Landsborough Primary School,201031013,-37.005861,143.135913,Primary
3890,Lysterfield Primary School,211011255,-37.911598,145.276229,Primary
3891,Winton Primary School,204021064,-36.51633,146.081337,Primary
3892,Merrigum Primary School,216031419,-36.369324,145.12966,Primary
3893,Bethanga Primary School,204031072,-36.120643,147.09576,Primary
3894,Abbotsford Primary School,206071139,-37.80906839,144.99879251,Primary
3895,Newtown Primary School,203021046,-38.14581148,144.3371322,Primary
3896,Windsor Primary School,206061136,-37.85718301,144.99573934,Primary
3897,Narre Warren North Primary School,212021299,-37.978585,145.316923,Primary
3898,Buchan Primary School,205021085,-37.497737,148.180816,Primary
3899,Anakie Primary School,203021043,-37.912666,144.255106,Primary
3900,Moolap Primary School,203021045,-38.170652,144.424333,Primary
3901,Footscray City Primary School,213031348,-37.8064,144.900253,Primary
3902,Newham Primary School,202021031,-37.31214501,144.59476115,Primary
3903,Plenty Parklands Primary School,209041220,-37.6698,145.077,Primary
3904,White Hills Primary School,202011025,-36.727939,144.304152,Primary
3905,Mount Egerton Primary School,201021012,-37.6285209,144.10216909,Primary
3906,Drouin Primary School,205011076,-38.132857,145.853844,Primary
3907,Wunghnu Primary School,216021413,-36.150659,145.4306,Primary
3908,Maroona Primary School,215011387,-37.432795,142.858473,Primary
3909,Jindivick Primary School,205011077,-38.027622,145.901132,Primary
3910,Talgarno Primary School,204031072,-36.065797,147.159146,Primary
3911,Bungaree Primary School,201021012,-37.55759492,144.00709554,Primary
3912,Little River Primary School,213051468,-37.965013,144.50037,Primary
3913,Cowwarr Primary School,205051102,-38.013698,146.698964,Primary
3914,Morang South Primary School,209041436,-37.65286941,145.0946659,Primary
3915,Camp Hill Primary School,202011018,-36.755761,144.278248,Primary
3916,Pyalong Primary School,204011060,-37.117236,144.857094,Primary
3917,Winchelsea Primary School,203011036,-38.24449281,143.98427962,Primary
3918,Buln Buln Primary School,205011077,-38.099354,145.938174,Primary
3919,Macarthur Street Primary School,201011003,-37.55114678,143.85748596,Primary
3920,Elliminyt Primary School,217031472,-38.361351,143.583697,Primary
3921,Mornington Primary School,214021380,-38.22150488,145.04297096,Primary
3922,Hamilton North Primary School,217011421,-37.726456,141.995148,Primary
3923,Mount Blowhard Primary School,201021010,-37.42924282,143.7864444,Primary
3924,Creswick North Primary School,201021010,-37.40883711,143.89081982,Primary
3925,Black Hill Primary School,201011003,-37.549844,143.869785,Primary
3926,Brighton Beach Primary School,208011169,-37.9219,144.996,Primary
