rent,bedroom,baths,parking,url,Latitude,Longitude
460,3,2,2,https://www.domain.com.au/4-102-dublin-road-ringwood-east-vic-3135-16065611,-37.8194394,145.2466561
360,3,2,2,https://www.domain.com.au/2-ballota-street-wyndham-vale-vic-3024-16082295,-37.8702353,144.6117394
670,2,2,1,https://www.domain.com.au/4-307-inkerman-street-st-kilda-east-vic-3183-16046893,-37.8660006,144.9944242
425,1,1,1,https://www.domain.com.au/505-121-power-street-hawthorn-vic-3122-16072366,-37.8218413,145.0266446
650,3,2,2,https://www.domain.com.au/2-9-hampton-road-essendon-west-vic-3040-16052689,-37.7512854,144.8884874
400,3,2,2,https://www.domain.com.au/9-78-saltlake-boulevard-wollert-vic-3750-15965995,-37.6150915,145.0377319
320,1,1,1,https://www.domain.com.au/14-203-auburn-road-hawthorn-vic-3122-14759616,-37.8270618,145.0446434
300,2,1,1,https://www.domain.com.au/5-221-anzac-ave-seymour-vic-3660-16069524,-37.0355068,145.1557874
520,2,1,1,https://www.domain.com.au/21-aberfeldie-st-aberfeldie-vic-3040-15664532,-37.7581514,144.9059837
380,2,1,2,https://www.domain.com.au/2-west-court-heidelberg-west-vic-3081-16071775,-37.7361409,145.0386793
2,4,2,2,https://www.domain.com.au/melton-vic-3337-14979077,-37.6845739,144.5881606
400,2,2,1,https://www.domain.com.au/1-460-middleborough-road-blackburn-vic-3130-15988166,-37.8134868,145.1400843
340,2,1,1,https://www.domain.com.au/2-21-leila-street-deer-park-vic-3023-16040251,-37.7703343,144.7610509
700,3,2,2,https://www.domain.com.au/1-nicholson-street-seaford-vic-3198-12424997,-38.1178631,145.1254995
730,2,2,1,https://www.domain.com.au/106-keppel-street-carlton-vic-3053-16056010,-37.794322,144.9659591
625,2,2,1,https://www.domain.com.au/26-buckingham-street-richmond-vic-3121-16046215,-37.8139289,145.0015258
480,3,1,4,https://www.domain.com.au/20-heany-street-mount-waverley-vic-3149-16014144,-37.8822046,145.1186813
260,1,1,1,https://www.domain.com.au/2-86-settlement-road-belmont-vic-3216-15434401,-38.1817661,144.342979
650,2,2,1,https://www.domain.com.au/3202-850-whitehorse-road-box-hill-vic-3128-16006312,-37.8176013,145.1186637
